S.No.,State Code,State Name,Local Body Code,Local Body Version,Local Body Name (In English),Local Body Name (In Local),Localbody Type Code,Census 2011 Code
1194,20,Jharkhand,248133,2,Pakur,Pakur,5,801774
1195,20,Jharkhand,248136,1,Phusro,फुसरो,5,801777
1196,20,Jharkhand,248053,1,Rajmahal,राजमहल,7,801773
1197,20,Jharkhand,274814,14,Ramgarh Nagar Parishad,रामगढ़ नगर परिषद,5,801789
1198,20,Jharkhand,250413,1,Ranchi,रांची,4,801794
1199,20,Jharkhand,248052,1,Sahibganj,साहिबगंज,5,801772
1200,20,Jharkhand,250423,1,Seraikella,सराइकेला,7,801802
1201,20,Jharkhand,248138,2,Simdega,Simdega,5,801798
1202,29,Karnataka,251849,4,Afzalpur,Afzalpur,25,803206
1203,29,Karnataka,276618,5,Ainapur,AINAPUR,7,0
1204,29,Karnataka,296977,2,Ajjampura,Ajjampura,7,0
1205,29,Karnataka,276540,3,Alamela,ALAMELA,7,0
1206,29,Karnataka,251848,2,Aland,Aland,25,803205
1207,29,Karnataka,251894,1,Alnavar,Alnavar,7,803084
1208,29,Karnataka,252013,2,Alur,Alur,7,803175
1209,29,Karnataka,276597,2,Aminagad,AMINAGAD,7,0
1210,29,Karnataka,299181,7,Anavatti,Anavatti,7,0
1211,29,Karnataka,253189,6,Anekal,Anekal,25,803163
1212,29,Karnataka,299329,1,Ankalagi-Akkathangerahal,Ankalagi-Akkathangerahal,7,0
1213,29,Karnataka,251906,6,Ankola,Ankola,25,803095
1214,29,Karnataka,251896,3,Annigeri,Annigeri,25,803086
1215,29,Karnataka,276577,5,Arabhavi,ARABHAVI,7,0
1216,29,Karnataka,252014,1,Arkalgud,Arkalgud,7,803176
1217,29,Karnataka,252010,3,Arsikere,Arsikere,24,803173
1218,29,Karnataka,251812,2,Athni,Athni,25,803024
1219,29,Karnataka,276539,3,Attibele,ATTIBELE,25,0
1220,29,Karnataka,251866,3,Aurad,Aurad,7,803059
1221,29,Karnataka,299327,1,Babaleshwar,Babaleshwar,7,0
1222,29,Karnataka,251837,3,Badami,Badami,25,803046
1223,29,Karnataka,251839,3,Bagalkot,Bagalkot,24,803048
1224,29,Karnataka,251981,6,Bagepalli,Bagepalli,25,803229
1225,29,Karnataka,251827,4,Bail Hongal,Bail Hongal,25,803036
1226,29,Karnataka,297129,5,Bainduru,ಬೈಂದೂರು,7,0
1227,29,Karnataka,299320,5,Bajape,Bajape,7,0
1228,29,Karnataka,276523,3,Balaganur,BALAGANUR,7,0
1229,29,Karnataka,251927,4,Ballari,Ballari,4,803114
1230,29,Karnataka,299416,1,Bangarpete,Bangarpete,25,0
1231,29,Karnataka,251913,2,Bankapura,Bankapura,25,803101
1232,29,Karnataka,252051,2,Bannur,Bannur,25,803198
1233,29,Karnataka,252033,2,Bantval,Bantval,25,803183
1234,29,Karnataka,251864,3,Basavakalyan,Basavakalyan,24,803057
1235,29,Karnataka,251845,3,Basavana Bagevadi,Basavana Bagevadi,25,803054
1236,29,Karnataka,299169,1,Bashettihalli,Bashettihalli,7,0
1237,29,Karnataka,276600,19,Bbmp,BBMP,4,803162
1238,29,Karnataka,276529,2,Belagali,BELAGALI,7,0
1239,29,Karnataka,251824,7,Belagavi,Belagavi,4,803033
1240,29,Karnataka,276602,3,Belluru,BELLURU,7,0
1241,29,Karnataka,252034,1,Beltangadi,Beltangadi,7,803184
1242,29,Karnataka,252009,2,Belur,Belur,25,803172
1243,29,Karnataka,251952,6,Bhadravati,Bhadravati,24,803138
1244,29,Karnataka,276604,2,Bhagyanagara,BHAGYANAGARA,7,0
1245,29,Karnataka,251865,3,Bhalki,Bhalki,25,803058
1246,29,Karnataka,251911,2,Bhatkal,Bhatkal,25,803099
1247,29,Karnataka,251860,3,Bhimarayanagudi,Bhimarayanagudi,6,803216
1248,29,Karnataka,276526,5,Bidadi,BIDADI,25,0
1249,29,Karnataka,251867,4,Bidar,Bidar,24,803060
1250,29,Karnataka,251834,1,Bilgi,Bilgi,7,803043
1251,29,Karnataka,251963,2,Birur,Birur,25,803147
1252,29,Karnataka,299334,4,Bogadi,Bogadi,7,0
1253,29,Karnataka,276537,4,Bommasandra,BOMMASANDRA,25,0
1254,29,Karnataka,276583,4,Boragaon,BORAGAON,7,0
1255,29,Karnataka,251917,3,Byadgi,Byadgi,25,803105
1256,29,Karnataka,276559,6,Chadachana,CHADACHANA,7,0
1257,29,Karnataka,251933,3,Challakere,Challakere,24,803119
1258,29,Karnataka,252054,4,Chamarajanagar,Chamarajanagar,24,803201
